lot_name,lot_date,wafer_id,die_id,vdd_core,junction_temp,leakage_current,ring_oscillator_speed,thermal_resistance,ir_drop_estimate,silicon_lot_id,fmax_predicted,pass_fail,bin
LOT-2400,2024-06-01,W10,D007,0.972,54.2,64.02,990.3,27.53,46.46,0,1603.5266723749648,PASS,BIN0-Premium
LOT-2400,2024-06-01,W10,D008,1.045,45.2,33.0,1041.9,32.65,41.6,0,1743.0600235218926,PASS,BIN0-Premium
LOT-2400,2024-06-01,W11,D001,0.988,72.5,74.3,914.6,28.81,52.08,0,1541.3020444234976,PASS,BIN1-Target
LOT-2400,2024-06-01,W11,D002,0.874,77.0,61.68,1079.0,19.85,47.66,0,1441.6126181414454,PASS,BIN2-Guardband
LOT-2400,2024-06-01,W11,D003,0.879,76.0,62.46,1098.7,27.2,13.62,0,1493.7369715278276,PASS,BIN1-Target
LOT-2400,2024-06-01,W11,D004,0.797,78.6,60.01,1222.2,23.01,33.38,0,1393.6119513053043,PASS,BIN2-Guardband
LOT-2400,2024-06-01,W11,D005,0.843,81.9,76.34,1005.1,26.46,49.61,0,1323.4358492526014,PASS,BIN3-Below
LOT-2400,2024-06-01,W11,D006,1.004,92.7,70.26,800.0,14.79,39.79,0,1507.8575159483576,PASS,BIN1-Target
LOT-2400,2024-06-01,W11,D007,0.832,93.4,46.2,864.8,28.53,27.55,0,1181.4203044667727,FAIL,BIN4-Low
LOT-2400,2024-06-01,W11,D008,0.874,88.8,51.48,908.1,18.67,15.53,0,1349.2158345740113,PASS,BIN3-Below
LOT-2400,2024-06-01,W12,D001,1.012,89.4,44.3,1109.3,23.05,44.57,0,1651.6890220469286,PASS,BIN0-Premium
LOT-2400,2024-06-01,W12,D002,0.97,89.6,50.41,1123.6,24.06,15.22,0,1631.7128277992003,PASS,BIN0-Premium
LOT-2400,2024-06-01,W12,D003,0.949,124.5,48.99,1083.0,22.38,38.5,0,1451.000938761978,PASS,BIN1-Target
LOT-2400,2024-06-01,W12,D004,0.914,125.0,61.63,1055.7,25.68,36.44,0,1378.2269817120405,PASS,BIN2-Guardband
LOT-2400,2024-06-01,W12,D005,1.021,74.6,42.55,1119.0,23.06,27.65,0,1733.8419714652373,PASS,BIN0-Premium
LOT-2400,2024-06-01,W12,D006,0.82,88.3,45.92,1182.0,18.64,40.2,0,1373.3575748985977,PASS,BIN2-Guardband
LOT-2400,2024-06-01,W12,D007,0.93,75.1,74.03,1228.7,22.64,32.89,0,1664.9149217372212,PASS,BIN0-Premium
LOT-2400,2024-06-01,W12,D008,0.808,107.5,52.82,1195.4,22.11,42.33,0,1305.939504697474,PASS,BIN3-Below
LOT-2400,2024-06-01,W13,D001,0.966,75.1,45.57,922.4,25.29,25.63,0,1515.638714278485,PASS,BIN1-Target
LOT-2400,2024-06-01,W13,D002,0.965,45.5,75.56,1119.8,24.64,26.22,0,1742.7966990143375,PASS,BIN0-Premium
LOT-2400,2024-06-01,W13,D003,0.885,74.3,64.98,1080.8,26.3,46.63,0,1454.8620321724331,PASS,BIN1-Target
LOT-2400,2024-06-01,W13,D004,0.973,100.3,54.44,932.1,31.26,51.36,0,1424.8257198896993,PASS,BIN2-Guardband
LOT-2400,2024-06-01,W13,D005,0.832,79.1,80.0,1210.6,29.54,8.1,0,1489.864377471418,PASS,BIN1-Target
LOT-2400,2024-06-01,W13,D006,0.913,68.4,53.65,1045.4,29.45,29.3,0,1501.559696100189,PASS,BIN1-Target
LOT-2400,2024-06-01,W13,D007,0.922,64.9,32.79,1098.7,29.65,35.0,0,1524.4273006455692,PASS,BIN1-Target
LOT-2400,2024-06-01,W13,D008,1.018,74.7,62.78,809.1,25.92,56.3,0,1515.8435723272348,PASS,BIN1-Target
LOT-2400,2024-06-01,W14,D001,0.962,84.9,50.02,1079.8,23.09,26.49,0,1588.675725907785,PASS,BIN1-Target
LOT-2400,2024-06-01,W14,D002,0.931,70.8,55.93,800.0,22.0,48.06,0,1379.331692627153,PASS,BIN2-Guardband
LOT-2400,2024-06-01,W14,D003,0.972,101.0,53.61,1175.7,32.25,29.55,0,1595.1011841843049,PASS,BIN1-Target
LOT-2400,2024-06-01,W14,D004,0.926,125.0,47.7,825.2,31.94,37.2,0,1225.166867639596,FAIL,BIN4-Low
LOT-2400,2024-06-01,W14,D005,0.843,51.6,60.36,883.8,20.07,17.68,0,1375.0501330981094,PASS,BIN2-Guardband
LOT-2400,2024-06-01,W14,D006,0.938,75.9,27.46,1234.7,19.04,29.96,0,1640.8419329308254,PASS,BIN0-Premium
LOT-2400,2024-06-01,W14,D007,1.058,72.6,46.35,980.8,28.13,27.99,0,1711.4845196550873,PASS,BIN0-Premium
LOT-2400,2024-06-01,W14,D008,0.811,50.1,44.55,1029.1,15.86,36.5,0,1373.9830585972509,PASS,BIN2-Guardband
LOT-2400,2024-06-01,W15,D001,0.866,71.5,80.0,1004.4,23.12,45.08,0,1412.003588369704,PASS,BIN2-Guardband
LOT-2400,2024-06-01,W15,D002,0.918,86.4,60.52,890.5,26.62,26.9,0,1393.4786087011112,PASS,BIN2-Guardband
LOT-2400,2024-06-01,W15,D003,0.907,76.0,36.34,1136.4,28.03,60.0,0,1464.1312316950127,PASS,BIN1-Target
LOT-2400,2024-06-01,W15,D004,0.899,70.0,80.0,840.7,20.84,52.79,0,1373.1510560737233,PASS,BIN2-Guardband
LOT-2400,2024-06-01,W15,D005,0.881,125.0,47.0,917.2,24.11,34.97,0,1225.5368804685872,FAIL,BIN4-Low
LOT-2400,2024-06-01,W15,D006,0.899,67.6,56.03,992.9,18.96,34.84,0,1473.9370895631416,PASS,BIN1-Target
LOT-2400,2024-06-01,W15,D007,0.923,44.7,58.74,1033.2,30.73,28.88,0,1574.4593661418355,PASS,BIN1-Target
LOT-2400,2024-06-01,W15,D008,0.866,60.7,72.38,1113.1,23.53,21.18,0,1529.1425407767222,PASS,BIN1-Target
LOT-2400,2024-06-01,W16,D001,0.932,88.5,47.69,1206.3,22.64,49.47,0,1565.5026337124973,PASS,BIN1-Target
LOT-2400,2024-06-01,W16,D002,0.844,89.6,49.0,803.6,27.44,27.66,0,1182.5983242934626,FAIL,BIN4-Low
LOT-2400,2024-06-01,W16,D003,0.995,53.4,53.11,1090.5,15.89,31.11,0,1752.6136539114161,PASS,BIN0-Premium
LOT-2400,2024-06-01,W16,D004,0.965,60.5,44.24,1151.2,35.0,27.31,0,1652.98740063921,PASS,BIN0-Premium
LOT-2400,2024-06-01,W16,D005,0.96,64.4,77.55,981.7,25.18,49.6,0,1569.9018131956302,PASS,BIN1-Target
LOT-2400,2024-06-01,W16,D006,0.868,88.7,50.49,844.3,21.0,35.03,0,1263.1823934416475,PASS,BIN3-Below
LOT-2400,2024-06-01,W16,D007,0.898,94.7,49.01,1074.5,26.36,60.0,0,1384.3337162389064,PASS,BIN2-Guardband
LOT-2400,2024-06-01,W16,D008,0.972,62.1,78.09,1068.7,25.36,20.55,0,1692.5403719174064,PASS,BIN0-Premium
LOT-2400,2024-06-01,W17,D001,0.946,47.3,49.1,1052.0,20.28,51.91,0,1607.2174631661,PASS,BIN0-Premium
LOT-2400,2024-06-01,W17,D002,1.031,51.3,25.31,881.8,30.75,20.4,0,1635.1004259752626,PASS,BIN0-Premium
LOT-2400,2024-06-01,W17,D003,0.918,106.3,64.86,1166.9,24.47,60.0,0,1471.2847260448798,PASS,BIN1-Target
LOT-2400,2024-06-01,W17,D004,0.905,54.2,56.25,1392.9,32.02,31.91,0,1721.503775537812,PASS,BIN0-Premium
LOT-2400,2024-06-01,W17,D005,0.835,79.9,62.3,1125.3,23.49,22.72,0,1418.1702484031014,PASS,BIN2-Guardband
LOT-2400,2024-06-01,W17,D006,0.9,86.8,75.61,1175.6,22.8,32.47,0,1551.754340288244,PASS,BIN1-Target
LOT-2400,2024-06-01,W17,D007,1.003,100.4,62.04,800.0,17.0,43.88,0,1464.0483675117407,PASS,BIN1-Target
LOT-2400,2024-06-01,W17,D008,1.001,88.0,56.17,1049.5,25.89,17.58,0,1645.1401891569617,PASS,BIN0-Premium
LOT-2400,2024-06-01,W18,D001,0.966,70.6,52.0,1046.1,25.81,28.45,0,1602.6579000100785,PASS,BIN0-Premium
LOT-2400,2024-06-01,W18,D002,0.867,82.7,28.55,1029.6,16.85,47.93,0,1354.5305225988407,PASS,BIN2-Guardband
LOT-2400,2024-06-01,W18,D003,1.074,53.2,68.21,990.8,20.93,29.46,0,1841.0738624949538,PASS,BIN0-Premium
LOT-2400,2024-06-01,W18,D004,0.954,89.1,43.89,974.3,29.56,51.68,0,1435.9851270344811,PASS,BIN2-Guardband
LOT-2400,2024-06-01,W18,D005,0.868,70.0,69.69,1302.3,25.23,40.98,0,1584.5432992768326,PASS,BIN1-Target
LOT-2400,2024-06-01,W18,D006,0.878,97.3,61.95,1008.1,24.1,60.0,0,1324.484265492151,PASS,BIN3-Below
LOT-2400,2024-06-01,W18,D007,1.024,107.5,41.1,904.5,16.16,42.86,0,1525.6890973886725,PASS,BIN1-Target
LOT-2400,2024-06-01,W18,D008,0.862,55.8,72.34,829.6,26.7,20.54,0,1356.0256649130542,PASS,BIN2-Guardband
LOT-2400,2024-06-01,W19,D001,1.075,88.0,50.78,1025.9,22.96,28.72,0,1750.6699703795937,PASS,BIN0-Premium
LOT-2400,2024-06-01,W19,D002,0.832,63.6,75.3,1202.7,27.28,34.78,0,1485.7064225242154,PASS,BIN1-Target
LOT-2400,2024-06-01,W19,D003,0.971,86.3,63.94,1238.9,30.41,31.27,0,1683.3221392352243,PASS,BIN0-Premium
LOT-2400,2024-06-01,W19,D004,0.881,39.7,43.8,1042.5,23.47,34.87,0,1512.4238440495012,PASS,BIN1-Target
LOT-2400,2024-06-01,W19,D005,0.958,101.4,31.95,935.1,19.22,43.58,0,1418.6901616864675,PASS,BIN2-Guardband
LOT-2400,2024-06-01,W19,D006,1.042,85.5,61.65,993.9,19.33,27.44,0,1704.3414560975518,PASS,BIN0-Premium
LOT-2400,2024-06-01,W19,D007,1.029,80.6,51.87,1130.6,24.68,48.46,0,1715.3616784186695,PASS,BIN0-Premium
LOT-2400,2024-06-01,W19,D008,0.934,87.3,62.76,983.8,22.21,43.1,0,1468.0269259308752,PASS,BIN1-Target
LOT-2400,2024-06-01,W20,D001,0.9,81.6,80.0,1034.0,20.32,40.49,0,1481.202822424687,PASS,BIN1-Target
LOT-2400,2024-06-01,W20,D002,1.033,77.9,51.44,1003.2,17.69,34.2,0,1695.5313397926993,PASS,BIN0-Premium
LOT-2400,2024-06-01,W20,D003,0.999,89.9,56.51,850.2,22.37,21.91,0,1522.594174424927,PASS,BIN1-Target
LOT-2400,2024-06-01,W20,D004,0.772,69.4,63.8,937.5,19.82,56.3,0,1181.84003290811,FAIL,BIN4-Low
LOT-2400,2024-06-01,W20,D005,0.973,106.7,74.54,1131.4,23.8,40.8,0,1590.5065402547577,PASS,BIN1-Target
LOT-2400,2024-06-01,W20,D006,1.02,86.4,56.9,1076.6,28.67,29.06,0,1674.852065077614,PASS,BIN0-Premium
LOT-2400,2024-06-01,W20,D007,1.033,100.3,44.8,1265.3,15.54,7.2,0,1834.7564081472258,PASS,BIN0-Premium
LOT-2400,2024-06-01,W20,D008,0.968,65.6,45.12,1114.0,29.51,60.0,0,1592.8222098206054,PASS,BIN1-Target
LOT-2401,2024-06-03,W01,D001,0.885,71.9,47.3,1205.1,14.59,47.4,1,1563.9118001903998,PASS,BIN1-Target
LOT-2401,2024-06-03,W01,D002,0.914,93.3,15.79,919.6,21.46,41.17,1,1342.5966139271818,PASS,BIN3-Below
LOT-2401,2024-06-03,W01,D003,0.892,74.9,44.1,948.7,14.15,40.01,1,1424.4423205317416,PASS,BIN2-Guardband
LOT-2401,2024-06-03,W01,D004,0.83,85.5,46.53,939.7,20.81,17.64,1,1296.1845489876214,PASS,BIN3-Below
LOT-2401,2024-06-03,W01,D005,0.896,66.0,5.0,1009.2,28.49,18.58,1,1431.0223661514915,PASS,BIN2-Guardband
LOT-2401,2024-06-03,W01,D006,0.913,67.2,5.0,1204.9,25.8,35.37,1,1558.9127750458854,PASS,BIN1-Target
LOT-2401,2024-06-03,W01,D007,0.853,43.8,42.82,952.5,32.63,25.06,1,1397.8924665295585,PASS,BIN2-Guardband
LOT-2401,2024-06-03,W01,D008,0.877,77.9,25.54,1088.7,23.13,35.48,1,1430.317708908077,PASS,BIN2-Guardband
LOT-2401,2024-06-03,W02,D001,0.99,76.4,24.62,1050.7,18.75,28.94,1,1637.485226728613,PASS,BIN0-Premium
LOT-2401,2024-06-03,W02,D002,0.914,80.3,56.28,1034.8,25.43,22.51,1,1507.748179961595,PASS,BIN1-Target
LOT-2401,2024-06-03,W02,D003,0.975,70.1,59.64,831.4,30.77,31.7,1,1495.811362859236,PASS,BIN1-Target
LOT-2401,2024-06-03,W02,D004,0.888,52.7,39.21,1187.3,17.12,37.1,1,1604.6568696740924,PASS,BIN0-Premium
LOT-2401,2024-06-03,W02,D005,0.858,81.2,34.25,893.9,14.46,32.04,1,1313.7005812029472,PASS,BIN3-Below
LOT-2401,2024-06-03,W02,D006,0.947,51.3,29.25,1116.1,20.43,19.8,1,1675.747988833847,PASS,BIN0-Premium
LOT-2401,2024-06-03,W02,D007,0.877,90.8,29.53,1195.6,17.38,60.0,1,1447.8967534325589,PASS,BIN2-Guardband
LOT-2401,2024-06-03,W02,D008,0.92,60.9,50.79,986.8,20.17,28.35,1,1539.539706021972,PASS,BIN1-Target
LOT-2401,2024-06-03,W03,D001,0.944,61.7,22.87,911.3,31.04,33.27,1,1461.5865892791244,PASS,BIN1-Target
LOT-2401,2024-06-03,W03,D002,0.875,81.1,21.25,974.3,27.99,42.57,1,1319.714519203609,PASS,BIN3-Below
LOT-2401,2024-06-03,W03,D003,0.936,77.3,29.73,928.4,23.24,55.27,1,1417.8343028599916,PASS,BIN2-Guardband
LOT-2401,2024-06-03,W03,D004,0.883,86.1,19.66,1079.8,20.2,37.02,1,1415.0259102973243,PASS,BIN2-Guardband
LOT-2401,2024-06-03,W03,D005,0.871,31.1,25.26,1156.5,20.5,28.01,1,1596.1411297023278,PASS,BIN1-Target
LOT-2401,2024-06-03,W03,D006,0.875,56.7,42.38,1063.0,22.51,20.76,1,1508.3692213941292,PASS,BIN1-Target
LOT-2401,2024-06-03,W03,D007,0.988,63.0,25.3,895.1,26.7,37.19,1,1538.5434069619064,PASS,BIN1-Target
LOT-2401,2024-06-03,W03,D008,0.903,34.1,6.83,1007.4,35.0,33.25,1,1482.8030162616521,PASS,BIN1-Target
LOT-2401,2024-06-03,W04,D001,1.018,111.9,33.52,832.2,25.3,43.3,1,1437.6375202179404,PASS,BIN2-Guardband
LOT-2401,2024-06-03,W04,D002,0.93,74.3,11.24,1120.9,29.7,35.04,1,1517.5376154556056,PASS,BIN1-Target
LOT-2401,2024-06-03,W04,D003,0.893,90.7,10.05,970.5,23.57,18.2,1,1362.3803788283512,PASS,BIN2-Guardband
LOT-2401,2024-06-03,W04,D004,0.947,84.5,40.82,870.8,25.44,23.78,1,1438.4896324313188,PASS,BIN2-Guardband
LOT-2401,2024-06-03,W04,D005,0.923,63.6,34.91,1339.9,20.02,39.08,1,1714.6135993554253,PASS,BIN0-Premium
LOT-2401,2024-06-03,W04,D006,0.93,106.0,42.07,1148.4,17.41,29.54,1,1537.4200194137852,PASS,BIN1-Target
LOT-2401,2024-06-03,W04,D007,0.824,62.8,51.43,1025.6,18.29,31.52,1,1386.5324662374455,PASS,BIN2-Guardband
LOT-2401,2024-06-03,W04,D008,0.966,66.9,26.05,942.1,19.29,40.56,1,1535.8917209577842,PASS,BIN1-Target
LOT-2401,2024-06-03,W05,D001,0.865,119.8,18.17,1282.5,25.25,58.72,1,1369.5101113930064,PASS,BIN2-Guardband
LOT-2401,2024-06-03,W05,D002,0.843,104.2,45.56,936.4,18.54,33.15,1,1253.6162937478775,PASS,BIN3-Below
LOT-2401,2024-06-03,W05,D003,0.86,108.2,23.17,1029.8,24.42,56.93,1,1249.8419084476184,FAIL,BIN4-Low
LOT-2401,2024-06-03,W05,D004,0.972,103.1,32.17,1095.7,14.34,32.79,1,1581.860605653711,PASS,BIN1-Target
LOT-2401,2024-06-03,W05,D005,0.842,88.1,29.84,978.1,24.52,37.18,1,1273.8519589686211,PASS,BIN3-Below
LOT-2401,2024-06-03,W05,D006,0.838,101.2,36.67,1032.7,26.05,50.43,1,1250.1412016201657,PASS,BIN3-Below
LOT-2401,2024-06-03,W05,D007,0.975,106.0,35.05,1324.2,32.85,11.57,1,1694.284551083017,PASS,BIN0-Premium
LOT-2401,2024-06-03,W05,D008,0.957,43.0,46.46,1177.0,24.58,35.28,1,1735.6758123800037,PASS,BIN0-Premium
LOT-2401,2024-06-03,W06,D001,0.952,87.8,9.62,984.1,29.48,37.26,1,1437.17206106977,PASS,BIN2-Guardband
LOT-2401,2024-06-03,W06,D002,0.909,109.7,27.44,941.1,19.08,54.98,1,1306.0352386586492,PASS,BIN3-Below
